2021/06/27 20:30:29 [crit] 21916#4388: *1059 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/wpvmg/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "wpvmg.local", referrer: "http://localhost:3000/"
2021/06/27 20:30:29 [crit] 21916#4388: *1059 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/wpvmg/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "wpvmg.local", referrer: "http://localhost:3000/"
2021/07/12 18:43:29 [error] 4012#6648: *3 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local", referrer: "http://localhost:3001/"
2021/07/12 18:43:29 [error] 4012#6648: *7 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local"
2021/07/12 18:43:29 [error] 4012#6648: *7 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local"
2021/07/12 18:43:29 [error] 4012#6648: *5 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading upstream, client: 127.0.0.1, server: , request: "GET /?cache-buster=1797 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local"
2021/07/15 14:08:38 [error] 8416#10592: *13709 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/"
2021/07/15 14:08:38 [error] 8416#10592: *13709 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/"
2021/07/15 14:08:43 [error] 8416#10592: *13713 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /about-us/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/about-us/"
2021/07/15 14:08:43 [error] 8416#10592: *13714 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/"
2021/07/15 14:08:43 [error] 8416#10592: *13715 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/"
2021/07/15 14:08:43 [error] 8416#10592: *13716 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/about-us/"
2021/07/15 14:08:46 [error] 8416#10592: *13717 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /about-us/ HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/about-us/"
